Image,Depth_level,Useful_pixels(%)
000000002823.jpg,0,100.0
000000002833.jpg,1,99.1617
000000002839.jpg,0,99.6732
000000002842.jpg,0,100.0
000000002860.jpg,0,99.36
000000002867.jpg,2,79.0833
000000002881.jpg,2,58.1353
000000002890.jpg,1,81.7286
000000002892.jpg,3,74.4506
000000002896.jpg,1,83.7928
000000002907.jpg,1,64.3279
000000002951.jpg,7,16.214
000000002963.jpg,1,94.1967
000000002983.jpg,1,99.5638
000000002992.jpg,0,99.7753
000000002998.jpg,7,22.744
000000003000.jpg,0,100.0
000000003001.jpg,1,96.8896
000000003008.jpg,1,96.1369
000000003048.jpg,1,84.7666
000000003076.jpg,3,66.2624
000000003077.jpg,3,78.9323
000000003091.jpg,2,76.3496
000000003103.jpg,0,100.0
000000003109.jpg,1,67.6921
000000003118.jpg,0,99.336
000000003124.jpg,0,99.7724
000000003125.jpg,2,74.7369
000000003134.jpg,2,66.039
000000003145.jpg,1,97.6998
000000003157.jpg,1,96.2778
000000003160.jpg,3,80.5595
000000003197.jpg,3,65.0725
000000003209.jpg,1,88.887
000000003220.jpg,0,100.0
000000003225.jpg,0,100.0
000000003236.jpg,2,91.7548
000000003242.jpg,1,93.8856
000000003272.jpg,2,98.7791
000000003276.jpg,0,99.2249
000000003293.jpg,2,89.9646
000000003310.jpg,1,92.665
000000003320.jpg,2,56.7467
000000003325.jpg,2,89.7894
000000003326.jpg,2,69.1556
000000003337.jpg,2,100.0
000000003348.jpg,2,89.881
000000003353.jpg,2,76.3443
000000003361.jpg,9,3.0464
000000003365.jpg,2,73.5773
000000003366.jpg,1,88.0407
000000003375.jpg,1,100.0
000000003378.jpg,1,99.8386
000000003382.jpg,1,91.3694
000000003412.jpg,2,74.8412
000000003432.jpg,0,99.8993
000000003457.jpg,1,100.0
000000003461.jpg,1,84.7432
000000003466.jpg,1,94.0741
000000003478.jpg,4,61.8691
000000003488.jpg,1,99.9964
000000003493.jpg,3,35.3895
000000003514.jpg,1,97.9289
000000003521.jpg,0,99.8861
000000003528.jpg,2,76.4692
000000003532.jpg,1,81.332
000000003535.jpg,2,72.7682
000000003538.jpg,1,100.0
000000003579.jpg,0,100.0
000000003580.jpg,1,83.557
000000003590.jpg,3,56.8496
000000003602.jpg,2,71.4066
000000003628.jpg,1,72.8828
000000003637.jpg,2,88.1528
000000003685.jpg,3,47.3105
000000003693.jpg,2,76.8487
000000003694.jpg,1,100.0
000000003713.jpg,2,76.4043
000000003716.jpg,1,81.8021
000000003735.jpg,1,84.4734
000000003751.jpg,0,100.0
000000003761.jpg,0,99.507
000000003770.jpg,1,94.3705
000000003779.jpg,0,100.0
000000003786.jpg,4,50.1966
000000003793.jpg,2,80.9813
000000003804.jpg,4,48.8826
000000003817.jpg,0,99.246
000000003827.jpg,1,99.2569
000000003830.jpg,0,99.3933
000000003837.jpg,1,83.9648
000000003860.jpg,1,86.5931
000000003865.jpg,3,35.6444
000000003870.jpg,1,97.1654
000000003897.jpg,4,33.9062
000000003911.jpg,1,82.5752
000000003915.jpg,0,100.0
000000003917.jpg,1,100.0
000000003920.jpg,1,80.5115
000000003938.jpg,0,100.0
000000003939.jpg,2,85.4841
000000003964.jpg,3,88.9213
000000003967.jpg,1,100.0
000000003983.jpg,1,82.2751
000000003988.jpg,0,100.0
000000003995.jpg,1,64.0498
000000004011.jpg,1,94.437
000000004020.jpg,1,94.8426
000000004021.jpg,1,96.057
000000004042.jpg,1,90.9073
000000004065.jpg,1,92.8936
000000004066.jpg,2,68.0924
000000004069.jpg,2,88.5492
000000004080.jpg,0,99.8901
000000004092.jpg,0,100.0
000000004108.jpg,0,100.0
000000004129.jpg,2,51.2646
000000004130.jpg,1,76.717
000000004131.jpg,0,100.0
000000004138.jpg,1,99.9478
000000004139.jpg,1,99.9919
000000004140.jpg,4,60.0579
000000004159.jpg,1,84.9222
000000004172.jpg,2,90.3418
000000004173.jpg,4,61.6309
000000004175.jpg,1,92.3486
000000004180.jpg,1,100.0
000000004187.jpg,1,99.12
000000004201.jpg,0,100.0
000000004211.jpg,1,73.29
000000004219.jpg,2,84.0882
000000004227.jpg,2,83.7515
000000004239.jpg,3,81.0149
000000004243.jpg,2,65.4874
000000004244.jpg,1,97.1867
000000004246.jpg,1,59.6636
000000004259.jpg,0,100.0
000000004266.jpg,0,100.0
000000004275.jpg,1,90.5508
000000004286.jpg,4,36.0654
000000004289.jpg,0,99.8189
000000004309.jpg,1,99.9987
000000004312.jpg,0,99.8525
000000004331.jpg,2,70.8317
000000004355.jpg,1,83.7873
000000004359.jpg,1,100.0
000000004360.jpg,1,99.0512
000000004375.jpg,2,77.5483
000000004376.jpg,1,83.0856
000000004377.jpg,0,99.5811
000000004385.jpg,4,60.5514
000000004386.jpg,1,96.1882
000000004404.jpg,6,25.5356
000000004421.jpg,1,78.8994
000000004424.jpg,2,93.0076
000000004428.jpg,3,68.1804
000000004438.jpg,1,90.6214
000000004441.jpg,1,83.2877
000000004442.jpg,4,59.7856
000000004478.jpg,2,50.2685
000000004489.jpg,1,87.0616
000000004490.jpg,1,94.3959
000000004498.jpg,0,100.0
000000004502.jpg,1,55.3002
000000004508.jpg,1,93.0911
000000004509.jpg,1,84.8908
000000004527.jpg,1,100.0
000000004535.jpg,1,100.0
000000004549.jpg,2,74.0048
000000004551.jpg,4,36.1627
000000004554.jpg,0,100.0
000000004555.jpg,3,46.3507
000000004567.jpg,1,90.3867
000000004574.jpg,0,100.0
000000004576.jpg,5,39.7085
000000004578.jpg,1,92.8509
000000004587.jpg,0,99.8512
000000004592.jpg,1,100.0
000000004595.jpg,1,78.2074
000000004608.jpg,1,73.9717
000000004616.jpg,3,81.181
000000004642.jpg,0,99.9292
000000004662.jpg,1,99.9984
000000004665.jpg,1,89.9265
000000004678.jpg,4,45.4234
000000004684.jpg,2,70.8421
000000004688.jpg,4,66.4147
000000004700.jpg,1,84.7779
000000004702.jpg,2,71.1416
000000004704.jpg,0,100.0
000000004711.jpg,0,100.0
000000004714.jpg,1,74.7064
000000004716.jpg,1,81.1205
000000004731.jpg,2,78.7029
000000004736.jpg,2,59.755
000000004739.jpg,2,80.2307
000000004741.jpg,3,60.7546
000000004742.jpg,1,81.0017
000000004764.jpg,3,78.7736
000000004772.jpg,3,58.1046
000000004823.jpg,1,77.2266
000000004834.jpg,3,56.7636
000000004840.jpg,0,100.0
000000004843.jpg,3,64.8418
000000004844.jpg,1,89.2043
000000004859.jpg,2,77.8266
000000004876.jpg,1,83.398
000000004891.jpg,1,60.1096
000000004893.jpg,4,51.1713
000000004903.jpg,1,100.0
000000004916.jpg,1,89.4665
000000004947.jpg,1,92.6875
000000004968.jpg,1,63.6165
000000004972.jpg,1,94.2173
000000004975.jpg,1,80.4678
000000004980.jpg,2,79.6707
000000004981.jpg,3,41.9831
000000004984.jpg,2,64.5065
000000004988.jpg,3,61.1322
000000004993.jpg,1,93.1702
000000005016.jpg,1,100.0
000000005018.jpg,1,93.6572
000000005021.jpg,1,92.008
000000005028.jpg,1,95.0251
000000005032.jpg,1,76.5127
000000005033.jpg,0,100.0
000000005038.jpg,1,100.0
000000005064.jpg,2,77.0283
000000005073.jpg,0,100.0
000000005083.jpg,1,83.349
000000005085.jpg,1,94.0801
000000005086.jpg,2,87.7852
000000005094.jpg,2,91.707
000000005105.jpg,0,99.7412
000000005107.jpg,3,64.9414
000000005113.jpg,3,62.568
000000005123.jpg,4,48.4993
000000005124.jpg,1,84.9639
000000005131.jpg,3,43.9194
000000005139.jpg,0,100.0
000000005140.jpg,2,77.1361
000000005152.jpg,1,100.0
000000005156.jpg,0,99.5033
000000005165.jpg,1,87.3705
000000005169.jpg,2,88.2041
000000005172.jpg,3,88.2292
000000005178.jpg,1,81.5048
000000005198.jpg,1,84.6699
000000005205.jpg,1,100.0
000000005210.jpg,4,41.462
000000005215.jpg,1,91.6017
000000005219.jpg,2,76.7107
000000005225.jpg,1,86.3832
000000005245.jpg,2,54.2817
000000005247.jpg,2,89.3352
000000005256.jpg,1,81.876
000000005260.jpg,1,99.162
000000005278.jpg,1,77.4147
000000005282.jpg,2,62.5241
000000005288.jpg,1,98.1061
000000005294.jpg,2,79.9474
000000005303.jpg,1,95.0898
000000005312.jpg,3,39.3401
000000005313.jpg,2,64.3278
000000005324.jpg,1,65.5168
000000005325.jpg,2,63.9904
000000005336.jpg,1,79.1377
000000005339.jpg,3,84.1997
000000005356.jpg,5,51.8146
000000005360.jpg,1,91.7533
000000005368.jpg,3,95.0631
000000005373.jpg,1,98.202
000000005376.jpg,1,93.3841
000000005377.jpg,2,42.6703
000000005385.jpg,2,76.7734
000000005388.jpg,3,56.7703
000000005394.jpg,2,57.8993
000000005424.jpg,1,99.9958
